iter	Passed	Remaining
0	0	76
1	2	105
2	3	123
3	5	122
4	6	121
5	7	114
6	8	114
7	9	114
8	11	115
9	12	114
10	13	110
11	14	108
12	16	108
13	17	108
14	19	107
15	20	106
16	21	105
17	23	105
18	24	102
19	25	101
20	26	98
21	27	97
22	28	94
23	29	92
24	30	91
25	31	89
26	32	88
27	34	87
28	35	86
29	36	84
30	37	83
31	38	81
32	39	79
33	40	78
34	41	76
35	42	74
36	43	73
37	43	71
38	44	70
39	45	68
40	46	67
41	47	64
42	48	63
43	48	62
44	49	60
45	50	59
46	51	58
47	52	56
48	53	55
49	54	54
50	54	52
51	55	51
52	56	50
53	57	48
54	57	47
55	58	46
56	59	44
57	60	43
58	60	42
59	61	41
60	62	40
61	63	38
62	64	37
63	64	36
64	65	35
65	66	34
66	67	33
67	67	31
68	68	30
69	69	29
70	69	28
71	70	27
72	71	26
73	71	25
74	72	24
75	73	23
76	74	22
77	74	21
78	75	20
79	76	19
80	76	18
81	77	16
82	77	15
83	78	14
84	79	14
85	80	13
86	80	12
87	81	11
88	82	10
89	82	9
90	83	8
91	83	7
92	84	6
93	85	5
94	86	4
95	86	3
96	87	2
97	88	1
98	88	0
99	89	0
