iter	Passed	Remaining
0	159	159209
1	160	80315
2	162	54063
3	164	40883
4	165	32862
5	166	27581
6	167	23720
7	167	20831
8	168	18583
9	169	16761
10	169	15273
11	170	14043
12	171	12997
13	171	12096
14	172	11321
15	172	10634
16	173	10030
17	174	9492
18	174	9010
19	175	8575
20	175	8183
21	177	7870
22	177	7552
23	178	7258
24	179	6983
25	179	6726
26	180	6494
27	181	6287
28	181	6085
29	182	5894
30	182	5717
31	183	5558
32	184	5401
33	184	5253
34	185	5112
35	186	4981
36	186	4856
37	187	4742
38	187	4630
39	188	4524
40	189	4423
41	189	4324
42	190	4235
43	190	4145
44	191	4064
45	192	3985
46	192	3908
47	193	3833
48	193	3762
49	194	3694
50	195	3631
51	195	3570
52	196	3509
53	196	3450
54	197	3396
55	198	3340
56	198	3289
57	199	3237
58	199	3187
59	200	3139
60	200	3092
61	201	3050
62	202	3007
63	202	2964
64	203	2923
65	203	2882
66	204	2846
67	204	2808
68	205	2771
69	206	2738
70	206	2705
71	207	2672
72	207	2640
73	208	2609
74	209	2580
75	209	2551
76	210	2523
77	211	2495
78	211	2466
79	212	2439
80	212	2413
81	213	2389
82	213	2360
83	214	2335
84	214	2313
85	215	2290
86	216	2269
87	216	2246
88	217	2226
89	218	2205
90	218	2185
91	219	2165
92	219	2144
93	220	2125
94	221	2107
95	221	2089
96	222	2071
97	223	2053
98	223	2035
99	224	2018
100	224	2001
101	225	1984
102	226	1968
103	226	1953
104	227	1937
105	227	1922
106	228	1906
107	229	1891
108	229	1877
109	230	1863
110	230	1849
111	231	1836
112	232	1823
113	232	1809
114	233	1795
115	234	1783
116	234	1769
117	235	1756
118	235	1743
119	236	1732
120	237	1723
121	238	1716
122	239	1705
123	239	1694
124	240	1684
125	241	1673
126	241	1661
127	242	1650
128	242	1640
129	243	1629
130	244	1619
131	244	1609
132	245	1599
133	246	1589
134	246	1580
135	247	1570
136	247	1561
137	248	1551
138	248	1542
139	249	1532
140	250	1524
141	250	1514
142	251	1506
143	252	1499
144	252	1490
145	253	1482
146	254	1474
147	254	1465
148	255	1457
149	255	1450
150	256	1442
151	257	1435
152	257	1427
153	258	1420
154	259	1412
155	259	1405
156	260	1397
157	260	1390
158	261	1383
159	262	1375
160	262	1367
161	263	1361
162	263	1354
163	264	1348
164	265	1341
165	265	1335
166	266	1329
167	267	1323
168	267	1316
169	268	1310
170	269	1304
171	269	1298
172	270	1291
173	270	1286
174	271	1280
175	272	1274
176	272	1268
177	273	1263
178	274	1257
179	274	1251
180	275	1245
181	275	1240
182	276	1234
183	277	1229
184	277	1223
185	278	1219
186	279	1213
187	279	1209
188	280	1204
189	281	1198
190	281	1193
191	282	1189
192	283	1184
193	283	1179
194	284	1174
195	285	1170
196	286	1166
197	286	1161
198	287	1157
199	288	1152
200	288	1147
201	289	1143
202	290	1138
203	290	1134
204	291	1130
205	292	1125
206	292	1121
207	293	1116
208	293	1112
209	294	1108
210	295	1104
211	295	1099
212	296	1095
213	297	1091
214	298	1088
215	298	1084
216	299	1080
217	300	1076
218	300	1072
219	301	1068
220	302	1064
221	302	1061
222	303	1057
223	304	1054
224	304	1050
225	305	1046
226	306	1042
227	306	1038
228	307	1034
229	307	1031
230	308	1027
231	309	1023
232	309	1020
233	310	1016
234	311	1013
235	311	1009
236	312	1007
237	313	1003
238	314	1000
239	314	997
240	315	994
241	316	991
242	317	988
243	318	985
244	318	982
245	319	978
246	319	975
247	320	972
248	321	969
249	321	965
250	322	962
251	323	959
252	323	955
253	324	952
254	324	949
255	325	946
256	326	943
257	327	940
258	327	937
259	328	934
260	329	932
261	330	929
262	330	927
263	331	924
264	332	921
265	332	918
266	333	915
267	334	912
268	334	909
269	335	907
270	336	904
271	337	902
272	337	899
273	338	896
274	339	893
275	339	890
276	340	888
277	340	885
278	341	882
279	342	880
280	343	877
281	343	875
282	344	872
283	345	870
284	345	867
285	346	865
286	347	862
287	348	860
288	348	857
289	349	855
290	350	852
291	350	850
292	351	847
293	351	844
294	352	842
295	353	840
296	353	837
297	354	835
298	355	832
299	356	830
300	356	828
301	357	826
302	358	824
303	359	822
304	359	820
305	360	817
306	361	815
307	362	813
308	362	811
309	363	809
310	364	807
311	364	804
312	365	802
313	366	800
314	366	797
315	367	795
316	368	793
317	368	790
318	369	788
319	370	786
320	370	784
321	371	782
322	372	780
323	373	778
324	373	776
325	374	774
326	375	772
327	375	770
328	376	768
329	377	766
330	378	764
331	378	762
332	379	760
333	380	758
334	381	756
335	381	754
336	382	752
337	383	750
338	383	748
339	384	746
340	385	744
341	385	742
342	386	739
343	386	737
344	387	735
345	388	734
346	389	732
347	389	730
348	390	728
349	390	726
350	391	724
351	392	722
352	393	720
353	393	718
354	394	716
355	395	714
356	395	713
357	396	711
358	397	709
359	397	707
360	398	705
361	399	703
362	399	701
363	400	699
364	401	697
365	401	695
366	402	693
367	403	692
368	403	690
369	404	688
370	405	686
371	405	685
372	406	683
373	407	681
374	408	680
375	408	678
376	409	676
377	410	674
378	410	673
379	411	671
380	412	669
381	412	667
382	413	665
383	413	664
384	414	662
385	415	660
386	415	658
387	416	657
388	417	655
389	418	654
390	418	652
391	419	650
392	420	648
393	420	647
394	421	645
395	422	644
396	423	642
397	424	641
398	424	639
399	425	638
400	426	636
401	426	634
402	427	633
403	428	631
404	428	629
405	429	628
406	430	626
407	430	624
408	431	623
409	431	621
410	432	619
411	433	618
412	434	616
413	434	615
414	435	613
415	436	612
416	437	610
417	437	609
418	438	607
419	439	606
420	439	604
421	440	603
422	441	601
423	441	600
424	442	598
425	443	597
426	443	595
427	444	594
428	445	592
429	445	590
430	446	589
431	447	587
432	447	586
433	448	585
434	449	583
435	449	582
436	450	580
437	451	579
438	451	577
439	452	576
440	453	574
441	454	573
442	454	571
443	455	570
444	456	569
445	456	567
446	457	566
447	458	564
448	458	563
449	459	561
450	460	560
451	460	558
452	461	557
453	462	555
454	462	554
455	463	552
456	464	551
457	465	550
458	465	549
459	466	547
460	467	546
461	468	545
462	468	543
463	469	542
464	470	541
465	470	539
466	471	538
467	472	536
468	472	535
469	473	533
470	474	532
471	474	531
472	475	529
473	476	528
474	476	526
475	477	525
476	477	524
477	479	523
478	479	522
479	480	520
480	481	519
481	482	518
482	482	516
483	483	515
484	484	514
485	485	512
486	485	511
487	486	510
488	487	508
489	487	507
490	488	506
491	488	504
492	489	503
493	490	502
494	490	500
495	491	499
496	492	498
497	492	496
498	493	495
499	494	494
500	494	492
501	495	491
502	496	490
503	496	489
504	497	487
505	498	486
506	499	485
507	499	484
508	500	482
509	501	481
510	502	480
511	503	479
512	503	478
513	504	477
514	505	475
515	506	474
516	506	473
517	507	472
518	508	471
519	509	470
520	509	468
521	510	467
522	511	466
523	512	465
524	512	463
525	513	462
526	514	461
527	514	460
528	515	459
529	516	457
530	517	456
531	517	455
532	518	454
533	519	453
534	520	452
535	521	451
536	521	449
537	522	448
538	523	447
539	523	446
540	524	445
541	525	443
542	526	442
543	526	441
544	527	440
545	527	438
546	528	437
547	529	436
548	530	435
549	530	434
550	531	433
551	532	431
552	532	430
553	533	429
554	534	428
555	534	426
556	535	425
557	535	424
558	536	423
559	537	422
560	537	420
561	538	419
562	539	418
563	539	417
564	540	416
565	541	415
566	541	413
567	542	412
568	543	411
569	543	410
570	544	409
571	545	407
572	545	406
573	546	405
574	547	404
575	547	403
576	548	402
577	549	400
578	549	399
579	550	398
580	551	397
581	551	396
582	552	395
583	553	394
584	553	392
585	554	391
586	555	390
587	555	389
588	556	388
589	557	387
590	557	385
591	558	384
592	559	383
593	559	382
594	560	381
595	561	380
596	561	379
597	562	377
598	562	376
599	563	375
600	564	374
601	564	373
602	565	372
603	566	371
604	566	370
605	568	369
606	568	368
607	569	367
608	570	366
609	571	365
610	571	364
611	572	362
612	573	361
613	573	360
614	574	359
615	575	358
616	575	357
617	576	356
618	576	355
619	577	353
620	578	352
621	578	351
622	579	350
623	579	349
624	580	348
625	581	347
626	581	346
627	582	344
628	582	343
629	583	342
630	584	341
631	585	340
632	585	339
633	586	338
634	587	337
635	587	336
636	588	335
637	589	334
638	589	333
639	590	332
640	590	330
641	591	329
642	592	328
643	592	327
644	595	327
645	595	326
646	596	325
